Title,Code,Type,2019EmpNum,2029EmpProjNum,2019Dist,2029ProjDist,10yrChgNum,10yrChgPct, AnnAvgOpens 
Amusement and recreation attendants,39-3091,Line item,357.70,394.70,0.20,0.20,37.00,10.30,81.80
Costume attendants,39-3092,Line item,7.70,8.10,0.00,0.00,0.40,4.70,1.70
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,16.80,18.10,0.00,0.00,1.40,8.10,3.80
"Entertainment attendants and related workers, all other",39-3099,Line item,4.80,5.10,0.00,0.00,0.30,6.20,1.10
Embalmers,39-4011,Line item,3.90,3.60,0.00,0.00,-0.30,-7.60,0.50
Funeral attendants,39-4021,Line item,34.30,33.30,0.00,0.00,-1.00,-2.90,5.00
"Morticians, undertakers, and funeral arrangers",39-4031,Line item,26.60,26.10,0.00,0.00,-0.50,-2.00,2.70
Personal appearance workers,39-5000,Summary,978.00,1014.10,0.60,0.60,36.10,3.70,110.70
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,722.60,713.30,0.40,0.40,-9.20,-1.30,77.80
Barbers,39-5011,Line item,66.50,71.50,0.00,0.00,5.00,7.50,7.20
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,656.10,641.80,0.40,0.40,-14.20,-2.20,70.60
Miscellaneous personal appearance workers,39-5090,Summary,255.40,300.80,0.20,0.20,45.40,17.80,32.90
"Makeup artists, theatrical and performance",39-5091,Line item,4.70,5.20,0.00,0.00,0.50,11.00,0.60
Manicurists and pedicurists,39-5092,Line item,155.30,185.20,0.10,0.10,29.90,19.20,20.40
Shampooers,39-5093,Line item,16.80,18.80,0.00,0.00,1.90,11.40,2.00
Skincare specialists,39-5094,Line item,78.60,91.60,0.00,0.10,13.10,16.60,10.00
"Baggage porters, bellhops, and concierges",39-6000,Summary,83.30,88.30,0.10,0.10,5.00,6.00,11.60
Baggage porters and bellhops,39-6011,Line item,40.60,42.80,0.00,0.00,2.20,5.30,5.60
Concierges,39-6012,Line item,42.60,45.50,0.00,0.00,2.90,6.70,6.00
Tour and travel guides,39-7000,Summary,57.30,60.50,0.00,0.00,3.10,5.40,9.60
Tour and travel guides,39-7010,Line item,57.30,60.50,0.00,0.00,3.10,5.40,9.60
Childcare workers,39-9011,Line item,1146.40,1165.90,0.70,0.70,19.50,1.70,160.20
Recreation and fitness workers,39-9030,Summary,790.90,890.00,0.50,0.50,99.10,12.50,136.60
Exercise trainers and group fitness instructors,39-9031,Line item,373.70,431.30,0.20,0.30,57.60,15.40,66.40
Recreation workers,39-9032,Line item,417.10,458.70,0.30,0.30,41.50,10.00,70.20
Residential advisors,39-9041,Line item,115.20,128.70,0.10,0.10,13.60,11.80,18.50
"Crematory operators and personal care and service workers, all other",39-9098,Line item,111.30,128.80,0.10,0.10,17.50,15.70,17.10
Sales and related occupations,41-0000,Summary,15525.30,15222.00,9.50,9.00,-303.40,-2.00,1856.10
Supervisors of sales workers,41-1000,Summary,1886.30,1771.00,1.20,1.00,-115.30,-6.10,159.80
First-line supervisors of retail sales workers,41-1011,Line item,1476.40,1395.30,0.90,0.80,-81.20,-5.50,131.00
First-line supervisors of non-retail sales workers,41-1012,Line item,409.80,375.70,0.30,0.20,-34.10,-8.30,28.80
Retail sales workers,41-2000,Summary,8676.00,8396.00,5.30,5.00,-280.00,-3.20,1205.60
Cashiers,41-2010,Summary,3622.50,3357.70,2.20,2.00,-264.80,-7.30,562.30
Cashiers,41-2011,Line item,3600.90,3335.50,2.20,2.00,-265.30,-7.40,558.60
Gambling change persons and booth cashiers,41-2012,Line item,21.70,22.20,0.00,0.00,0.50,2.50,3.80
Counter and rental clerks and parts salespersons,41-2020,Summary,682.10,691.90,0.40,0.40,9.90,1.40,75.20
Counter and rental clerks,41-2021,Line item,420.40,424.90,0.30,0.30,4.50,1.10,46.10
Parts salespersons,41-2022,Line item,261.70,267.00,0.20,0.20,5.30,2.00,29.10
Retail salespersons,41-2031,Line item,4371.40,4346.30,2.70,2.60,-25.10,-0.60,568.10
"Sales representatives, services",41-3000,Summary,2257.20,2336.00,1.40,1.40,78.80,3.50,230.30
Advertising sales agents,41-3011,Line item,139.20,130.20,0.10,0.10,-9.00,-6.50,14.40
Insurance sales agents,41-3021,Line item,501.30,528.80,0.30,0.30,27.50,5.50,45.90
"Securities, commodities, and financial services sales agents",41-3031,Line item,464.20,481.60,0.30,0.30,17.40,3.70,40.50
Travel agents,41-3041,Line item,82.00,60.80,0.10,0.00,-21.30,-25.90,5.70
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,1070.50,1134.70,0.70,0.70,64.20,6.00,123.80
"Sales representatives, wholesale and manufacturing",41-4000,Summary,1720.70,1747.00,1.10,1.00,26.20,1.50,158.20
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,321.00,334.00,0.20,0.20,13.00,4.10,30.70
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1399.70,1412.90,0.90,0.80,13.20,0.90,127.50
Other sales and related workers,41-9000,Summary,985.20,972.10,0.60,0.60,-13.10,-1.30,102.20
"Models, demonstrators, and product promoters",41-9010,Summary,90.80,93.60,0.10,0.10,2.70,3.00,15.70
Demonstrators and product promoters,41-9011,Line item,88.10,90.90,0.10,0.10,2.70,3.10,15.30
Models,41-9012,Line item,2.70,2.70,0.00,0.00,0.00,0.50,0.50
Real estate brokers and sales agents,41-9020,Summary,477.20,488.50,0.30,0.30,11.30,2.40,41.10
Real estate brokers,41-9021,Line item,100.70,103.30,0.10,0.10,2.70,2.60,8.70
Real estate sales agents,41-9022,Line item,376.50,385.20,0.20,0.20,8.70,2.30,32.40
Sales engineers,41-9031,Line item,64.50,68.60,0.00,0.00,4.10,6.30,6.70
Telemarketers,41-9041,Line item,136.90,117.50,0.10,0.10,-19.40,-14.20,15.50
Miscellaneous sales and related workers,41-9090,Summary,215.80,203.90,0.10,0.10,-11.90,-5.50,23.10
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,72.90,58.30,0.00,0.00,-14.60,-20.00,6.30
"Sales and related workers, all other",41-9099,Line item,142.90,145.60,0.10,0.10,2.70,1.90,16.90
Office and administrative support occupations,43-0000,Summary,20633.00,19673.30,12.70,11.70,-959.70,-4.70,2017.40
Supervisors of office and administrative support workers,43-1000,Summary,1552.40,1505.70,1.00,0.90,-46.70,-3.00,138.20
First-line supervisors of office and administrative support workers,43-1011,Line item,1552.40,1505.70,1.00,0.90,-46.70,-3.00,138.20
Communications equipment operators,43-2000,Summary,78.50,61.70,0.00,0.00,-16.80,-21.40,5.50
"Switchboard operators, including answering service",43-2011,Line item,69.90,54.10,0.00,0.00,-15.70,-22.50,4.70
Telephone operators,43-2021,Line item,5.00,3.60,0.00,0.00,-1.40,-27.90,0.40
"Communications equipment operators, all other",43-2099,Line item,3.60,3.90,0.00,0.00,0.30,9.10,0.40
Financial clerks,43-3000,Summary,3111.10,2932.90,1.90,1.70,-178.30,-5.70,294.10
Bill and account collectors,43-3011,Line item,238.90,223.50,0.10,0.10,-15.40,-6.40,22.90
Billing and posting clerks,43-3021,Line item,484.20,493.50,0.30,0.30,9.30,1.90,48.10
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1673.60,1578.20,1.00,0.90,-95.40,-5.70,162.10
Gambling cage workers,43-3041,Line item,14.60,15.40,0.00,0.00,0.80,5.70,1.80
Payroll and timekeeping clerks,43-3051,Line item,149.80,143.10,0.10,0.10,-6.70,-4.50,13.70
Procurement clerks,43-3061,Line item,68.50,63.40,0.00,0.00,-5.10,-7.50,5.30
Tellers,43-3071,Line item,449.00,380.40,0.30,0.20,-68.60,-15.30,36.70
"Financial clerks, all other",43-3099,Line item,32.60,35.40,0.00,0.00,2.80,8.60,3.60
Information and record clerks,43-4000,Summary,6012.80,5963.60,3.70,3.50,-49.20,-0.80,689.60
Brokerage clerks,43-4011,Line item,48.60,50.50,0.00,0.00,1.90,3.80,4.90
Correspondence clerks,43-4021,Line item,6.80,6.60,0.00,0.00,-0.20,-3.20,0.70
"Court, municipal, and license clerks",43-4031,Line item,163.70,171.60,0.10,0.10,7.90,4.80,15.60
"Credit authorizers, checkers, and clerks",43-4041,Line item,26.90,25.60,0.00,0.00,-1.30,-4.80,2.20
Customer service representatives,43-4051,Line item,3018.80,2959.80,1.90,1.80,-59.00,-2.00,350.20
"Eligibility interviewers, government programs",43-4061,Line item,147.50,153.10,0.10,0.10,5.70,3.80,13.70
File clerks,43-4071,Line item,106.70,91.10,0.10,0.10,-15.60,-14.60,9.40
"Hotel, motel, and resort desk clerks",43-4081,Line item,276.50,257.40,0.20,0.20,-19.10,-6.90,38.50
"Interviewers, except eligibility and loan",43-4111,Line item,201.90,207.00,0.10,0.10,5.10,2.50,23.90
"Library assistants, clerical",43-4121,Line item,90.50,87.00,0.10,0.10,-3.50,-3.80,12.20
Loan interviewers and clerks,43-4131,Line item,212.60,230.30,0.10,0.10,17.70,8.30,21.20
New accounts clerks,43-4141,Line item,44.30,37.80,0.00,0.00,-6.50,-14.70,3.40
Order clerks,43-4151,Line item,146.00,129.10,0.10,0.10,-16.80,-11.50,12.80
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,123.90,117.70,0.10,0.10,-6.20,-5.00,11.50
Receptionists and information clerks,43-4171,Line item,1105.30,1144.70,0.70,0.70,39.50,3.60,139.20
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,126.30,122.70,0.10,0.10,-3.70,-2.90,12.50
"Information and record clerks, all other",43-4199,Line item,166.50,171.50,0.10,0.10,5.10,3.00,17.80
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,2206.10,2093.60,1.40,1.20,-112.50,-5.10,171.90
Cargo and freight agents,43-5011,Line item,97.20,102.60,0.10,0.10,5.40,5.50,9.10
Couriers and messengers,43-5021,Line item,121.80,119.10,0.10,0.10,-2.70,-2.20,10.40
Dispatchers,43-5030,Summary,302.90,307.10,0.20,0.20,4.20,1.40,26.30
Public safety telecommunicators,43-5031,Line item,98.30,104.30,0.10,0.10,6.10,6.20,9.20
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,204.60,202.70,0.10,0.10,-1.90,-0.90,17.10
"Meter readers, utilities",43-5041,Line item,30.90,27.40,0.00,0.00,-3.60,-11.50,2.20
Postal service workers,43-5050,Summary,503.10,430.90,0.30,0.30,-72.20,-14.30,25.60
Postal service clerks,43-5051,Line item,78.10,67.50,0.00,0.00,-10.50,-13.50,4.30
Postal service mail carriers,43-5052,Line item,326.60,282.50,0.20,0.20,-44.10,-13.50,16.10
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,98.50,80.90,0.10,0.00,-17.60,-17.80,5.20
"Production, planning, and expediting clerks",43-5061,Line item,378.50,393.30,0.20,0.20,14.80,3.90,37.50
"Shipping, receiving, and inventory clerks",43-5071,Line item,710.40,648.80,0.40,0.40,-61.50,-8.70,54.30
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,61.30,64.50,0.00,0.00,3.10,5.10,6.40
Secretaries and administrative assistants,43-6000,Summary,3638.80,3311.40,2.20,2.00,-327.40,-9.00,321.80
Executive secretaries and executive administrative assistants,43-6011,Line item,593.40,472.40,0.40,0.30,-121.10,-20.40,42.30
Legal secretaries and administrative assistants,43-6012,Line item,171.80,133.80,0.10,0.10,-38.00,-22.10,11.80
Medical secretaries and administrative assistants,43-6013,Line item,623.40,682.70,0.40,0.40,59.30,9.50,72.60
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2250.20,2022.60,1.40,1.20,-227.50,-10.10,195.20
Other office and administrative support workers,43-9000,Summary,4033.30,3804.40,2.50,2.30,-228.90,-5.70,396.30
Data entry and information processing workers,43-9020,Summary,225.10,163.50,0.10,0.10,-61.60,-27.40,13.80
Data entry keyers,43-9021,Line item,172.40,130.00,0.10,0.10,-42.40,-24.60,10.90
Word processors and typists,43-9022,Line item,52.70,33.50,0.00,0.00,-19.20,-36.40,2.90
Desktop publishers,43-9031,Line item,10.40,8.40,0.00,0.00,-2.00,-19.00,0.80
Insurance claims and policy processing clerks,43-9041,Line item,293.90,287.30,0.20,0.20,-6.60,-2.20,25.50
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,88.40,82.50,0.10,0.00,-6.00,-6.70,8.30
"Office clerks, general",43-9061,Line item,3126.30,2970.40,1.90,1.80,-155.90,-5.00,317.50
"Office machine operators, except computer",43-9071,Line item,47.30,41.10,0.00,0.00,-6.20,-13.10,3.80
Proofreaders and copy markers,43-9081,Line item,10.30,10.10,0.00,0.00,-0.30,-2.70,1.20
Statistical assistants,43-9111,Line item,10.80,11.50,0.00,0.00,0.70,6.40,1.30
"Office and administrative support workers, all other",43-9199,Line item,220.80,229.60,0.10,0.10,8.80,4.00,24.10
"Farming, fishing, and forestry occupations",45-0000,Summary,1116.60,1115.10,0.70,0.70,-1.50,-0.10,159.70
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,53.20,52.60,0.00,0.00,-0.60,-1.10,6.90
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.20,52.60,0.00,0.00,-0.60,-1.10,6.90
Agricultural workers,45-2000,Summary,956.50,966.00,0.60,0.60,9.50,1.00,139.60
Agricultural inspectors,45-2011,Line item,15.20,15.50,0.00,0.00,0.30,1.80,2.20
Animal breeders,45-2021,Line item,8.40,8.10,0.00,0.00,-0.30,-3.20,1.20
"Graders and sorters, agricultural products",45-2041,Line item,38.30,38.30,0.00,0.00,0.00,0.00,5.00
Miscellaneous agricultural workers,45-2090,Summary,894.50,904.00,0.50,0.50,9.50,1.10,131.20
Agricultural equipment operators,45-2091,Line item,70.30,78.30,0.00,0.00,8.00,11.40,11.60
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,566.50,587.90,0.30,0.30,21.40,3.80,85.80
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,245.40,225.10,0.20,0.10,-20.30,-8.30,32.10
"Agricultural workers, all other",45-2099,Line item,12.30,12.70,0.00,0.00,0.40,2.90,1.80
Fishing and hunting workers,45-3000,Summary,36.70,33.90,0.00,0.00,-2.80,-7.70,4.60
Fishing and hunting workers,45-3031,Line item,36.70,33.90,0.00,0.00,-2.80,-7.70,4.60
"Forest, conservation, and logging workers",45-4000,Summary,70.10,62.60,0.00,0.00,-7.60,-10.80,8.50
Forest and conservation workers,45-4011,Line item,13.20,13.10,0.00,0.00,-0.10,-0.50,1.80
Logging workers,45-4020,Summary,56.90,49.40,0.00,0.00,-7.50,-13.20,6.70
Fallers,45-4021,Line item,7.20,6.00,0.00,0.00,-1.20,-16.70,0.80
Logging equipment operators,45-4022,Line item,39.20,34.30,0.00,0.00,-4.90,-12.50,4.70
Log graders and scalers,45-4023,Line item,4.80,4.30,0.00,0.00,-0.60,-11.40,0.60
"Logging workers, all other",45-4029,Line item,5.70,4.90,0.00,0.00,-0.80,-14.50,0.70
Construction and extraction occupations,47-0000,Summary,7349.10,7645.40,4.50,4.50,296.30,4.00,733.90
Supervisors of construction and extraction workers,47-1000,Summary,685.00,718.00,0.40,0.40,33.00,4.80,65.50
First-line supervisors of construction trades and extraction workers,47-1011,Line item,685.00,718.00,0.40,0.40,33.00,4.80,65.50
Construction trades workers,47-2000,Summary,5681.00,5872.40,3.50,3.50,191.30,3.40,550.90
Boilermakers,47-2011,Line item,15.90,16.00,0.00,0.00,0.10,0.90,1.40
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,98.70,93.00,0.10,0.10,-5.80,-5.90,7.80
Brickmasons and blockmasons,47-2021,Line item,81.90,76.70,0.10,0.00,-5.20,-6.40,6.40
Stonemasons,47-2022,Line item,16.80,16.30,0.00,0.00,-0.50,-3.20,1.40
Carpenters,47-2031,Line item,1024.10,1019.90,0.60,0.60,-4.20,-0.40,89.00
"Carpet, floor, and tile installers and finishers",47-2040,Summary,123.40,127.50,0.10,0.10,4.10,3.30,10.70
Carpet installers,47-2041,Line item,36.50,33.30,0.00,0.00,-3.20,-8.90,2.50
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,22.90,25.20,0.00,0.00,2.30,9.90,2.20
Floor sanders and finishers,47-2043,Line item,7.00,7.10,0.00,0.00,0.20,2.20,0.60
Tile and stone setters,47-2044,Line item,57.00,61.90,0.00,0.00,4.90,8.60,5.40
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,203.40,199.20,0.10,0.10,-4.30,-2.10,17.00
Cement masons and concrete finishers,47-2051,Line item,200.40,196.40,0.10,0.10,-3.90,-2.00,16.80
Terrazzo workers and finishers,47-2053,Line item,3.00,2.70,0.00,0.00,-0.30,-10.30,0.20
Construction laborers,47-2061,Line item,1398.00,1473.40,0.90,0.90,75.40,5.40,141.10
Construction equipment operators,47-2070,Summary,468.30,487.50,0.30,0.30,19.20,4.10,49.50
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,46.60,48.80,0.00,0.00,2.20,4.70,5.20
Pile driver operators,47-2072,Line item,3.60,3.80,0.00,0.00,0.20,4.40,0.40
Operating engineers and other construction equipment operators,47-2073,Line item,418.00,434.90,0.30,0.30,16.90,4.00,43.90
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,146.90,146.60,0.10,0.10,-0.30,-0.20,11.80
Drywall and ceiling tile installers,47-2081,Line item,125.10,125.60,0.10,0.10,0.50,0.40,10.10
Tapers,47-2082,Line item,21.80,21.00,0.00,0.00,-0.90,-4.00,1.60
Electricians,47-2111,Line item,739.20,801.40,0.50,0.50,62.20,8.40,82.20
Glaziers,47-2121,Line item,52.80,54.80,0.00,0.00,2.10,3.90,5.40
Insulation workers,47-2130,Summary,61.30,63.10,0.00,0.00,1.80,2.90,6.00
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,34.00,34.50,0.00,0.00,0.60,1.60,3.20
"Insulation workers, mechanical",47-2132,Line item,27.30,28.60,0.00,0.00,1.20,4.50,2.70
Painters and paperhangers,47-2140,Summary,385.00,385.90,0.20,0.20,0.80,0.20,32.80
"Painters, construction and maintenance",47-2141,Line item,379.50,380.30,0.20,0.20,0.90,0.20,32.30
Paperhangers,47-2142,Line item,5.60,5.50,0.00,0.00,0.00,-0.80,0.50
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,529.00,551.80,0.30,0.30,22.80,4.30,53.80
Pipelayers,47-2151,Line item,38.90,40.70,0.00,0.00,1.80,4.70,4.00
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,490.20,511.10,0.30,0.30,20.90,4.30,49.80
Plasterers and stucco masons,47-2161,Line item,27.70,28.80,0.00,0.00,1.10,4.10,2.30
Reinforcing iron and rebar workers,47-2171,Line item,18.80,19.80,0.00,0.00,0.90,5.00,2.60
Roofers,47-2181,Line item,161.60,165.40,0.10,0.10,3.80,2.40,14.70
Sheet metal workers,47-2211,Line item,137.70,139.50,0.10,0.10,1.80,1.30,12.70
Structural iron and steel workers,47-2221,Line item,77.00,80.60,0.00,0.00,3.60,4.70,8.10
Solar photovoltaic installers,47-2231,Line item,12.00,18.10,0.00,0.00,6.10,50.50,2.30
"Helpers, construction trades",47-3000,Summary,245.90,251.50,0.20,0.10,5.60,2.30,29.00
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,23.40,22.30,0.00,0.00,-1.10,-4.70,2.50
Helpers--carpenters,47-3012,Line item,33.20,33.70,0.00,0.00,0.40,1.30,3.90
Helpers--electricians,47-3013,Line item,81.10,82.30,0.00,0.00,1.20,1.50,9.50
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,11.00,11.20,0.00,0.00,0.20,1.90,1.30
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,59.30,62.60,0.00,0.00,3.30,5.60,7.30
Helpers--roofers,47-3016,Line item,9.10,9.50,0.00,0.00,0.30,3.50,1.10
"Helpers, construction trades, all other",47-3019,Line item,28.80,30.00,0.00,0.00,1.20,4.20,3.50
Other construction and related workers,47-4000,Summary,464.00,487.10,0.30,0.30,23.10,5.00,50.90
Construction and building inspectors,47-4011,Line item,120.80,124.60,0.10,0.10,3.90,3.20,13.50
Elevator and escalator installers and repairers,47-4021,Line item,28.90,30.80,0.00,0.00,1.90,6.60,3.00
Fence erectors,47-4031,Line item,34.20,35.00,0.00,0.00,0.80,2.20,3.40
Hazardous materials removal workers,47-4041,Line item,45.30,49.00,0.00,0.00,3.70,8.20,5.60
Highway maintenance workers,47-4051,Line item,156.10,163.80,0.10,0.10,7.80,5.00,16.50
Rail-track laying and maintenance equipment operators,47-4061,Line item,13.90,14.40,0.00,0.00,0.50,3.40,1.40
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.70,33.80,0.00,0.00,3.10,10.10,3.50
Miscellaneous construction and related workers,47-4090,Line item,34.10,35.60,0.00,0.00,1.50,4.30,4.00
Extraction workers,47-5000,Summary,273.20,316.40,0.20,0.20,43.20,15.80,37.60
"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,84.70,105.80,0.10,0.10,21.10,25.00,13.60
"Derrick operators, oil and gas",47-5011,Line item,12.00,15.70,0.00,0.00,3.70,30.50,2.00
"Rotary drill operators, oil and gas",47-5012,Line item,20.90,26.60,0.00,0.00,5.60,26.90,3.40
"Service unit operators, oil and gas",47-5013,Line item,51.70,63.60,0.00,0.00,11.80,22.90,8.10
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,46.10,47.40,0.00,0.00,1.30,2.90,5.10
Continuous mining machine operators,47-5041,Line item,15.00,15.30,0.00,0.00,0.30,2.30,1.70
"Roof bolters, mining",47-5043,Line item,3.30,2.80,0.00,0.00,-0.50,-16.00,0.30
"Loading and moving machine operators, underground mining",47-5044,Line item,4.50,3.90,0.00,0.00,-0.60,-13.40,0.40
"Rock splitters, quarry",47-5051,Line item,5.10,5.20,0.00,0.00,0.20,3.60,0.60
"Roustabouts, oil and gas",47-5071,Line item,58.50,73.10,0.00,0.00,14.70,25.10,8.80
Helpers--extraction workers,47-5081,Line item,16.90,20.30,0.00,0.00,3.40,20.20,2.40
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,Line item,25.30,27.30,0.00,0.00,2.00,7.80,3.00
"Underground mining machine operators and extraction workers, all other",47-5098,Line item,14.10,15.40,0.00,0.00,1.30,9.30,1.80
"Installation, maintenance, and repair occupations",49-0000,Summary,6128.00,6301.30,3.80,3.70,173.30,2.80,556.70
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,499.10,512.40,0.30,0.30,13.30,2.70,42.10
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,499.10,512.40,0.30,0.30,13.30,2.70,42.10
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,593.40,594.40,0.40,0.40,1.00,0.20,55.20
"Computer, automated teller, and office machine repairers",49-2011,Line item,112.30,111.40,0.10,0.10,-0.90,-0.80,10.60
Radio and telecommunications equipment installers and repairers,49-2020,Summary,230.70,225.60,0.10,0.10,-5.00,-2.20,22.50
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,15.00,15.50,0.00,0.00,0.60,3.70,1.60
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,215.70,210.10,0.10,0.10,-5.60,-2.60,20.90
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,250.40,257.30,0.20,0.20,6.90,2.80,22.10
Avionics technicians,49-2091,Line item,22.80,23.80,0.00,0.00,1.00,4.40,1.70
"Electric motor, power tool, and related repairers",49-2092,Line item,17.90,18.60,0.00,0.00,0.70,4.10,1.90
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.20,9.40,0.00,0.00,0.20,2.40,0.70
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,61.20,62.40,0.00,0.00,1.20,1.90,4.30
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,23.00,22.20,0.00,0.00,-0.70,-3.20,1.50
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,10.40,8.00,0.00,0.00,-2.40,-23.20,0.70
Audiovisual equipment installers and repairers,49-2097,Line item,29.70,28.80,0.00,0.00,-0.80,-2.80,2.60
Security and fire alarm systems installers,49-2098,Line item,76.30,84.10,0.00,0.00,7.80,10.30,8.80
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,1793.50,1793.00,1.10,1.10,-0.50,0.00,155.40
Aircraft mechanics and service technicians,49-3011,Line item,137.20,143.50,0.10,0.10,6.30,4.60,11.20
Automotive technicians and repairers,49-3020,Summary,936.30,912.80,0.60,0.50,-23.40,-2.50,77.50
Automotive body and related repairers,49-3021,Line item,155.50,159.90,0.10,0.10,4.40,2.90,13.60
Automotive glass installers and repairers,49-3022,Line item,24.30,24.20,0.00,0.00,-0.10,-0.40,2.20
Automotive service technicians and mechanics,49-3023,Line item,756.60,728.80,0.50,0.40,-27.80,-3.70,61.70
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,281.30,290.80,0.20,0.20,9.60,3.40,24.50
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,218.10,218.90,0.10,0.10,0.90,0.40,19.40
Farm equipment mechanics and service technicians,49-3041,Line item,40.80,41.30,0.00,0.00,0.50,1.30,3.70
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.90,154.00,0.10,0.10,1.10,0.70,13.70
Rail car repairers,49-3043,Line item,24.30,23.50,0.00,0.00,-0.80,-3.20,2.00
Small engine mechanics,49-3050,Summary,78.10,80.30,0.00,0.00,2.20,2.80,7.70
Motorboat mechanics and service technicians,49-3051,Line item,25.70,25.90,0.00,0.00,0.20,0.80,2.50
Motorcycle mechanics,49-3052,Line item,17.40,18.00,0.00,0.00,0.60,3.50,1.70
Outdoor power equipment and other small engine mechanics,49-3053,Line item,35.00,36.30,0.00,0.00,1.30,3.80,3.50
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,142.60,146.60,0.10,0.10,4.10,2.80,15.20
Bicycle repairers,49-3091,Line item,13.20,13.80,0.00,0.00,0.60,4.90,1.40
Recreational vehicle service technicians,49-3092,Line item,15.90,16.80,0.00,0.00,0.80,5.10,1.80
Tire repairers and changers,49-3093,Line item,113.40,116.00,0.10,0.10,2.60,2.30,12.00
"Other installation, maintenance, and repair occupations",49-9000,Summary,3242.10,3401.60,2.00,2.00,159.50,4.90,304.10
Control and valve installers and repairers,49-9010,Summary,76.60,77.50,0.00,0.00,0.90,1.20,5.80
Mechanical door repairers,49-9011,Line item,23.40,24.30,0.00,0.00,0.80,3.60,1.90
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,53.10,53.20,0.00,0.00,0.10,0.20,4.00
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,376.80,391.90,0.20,0.20,15.10,4.00,34.20
Home appliance repairers,49-9031,Line item,38.40,35.80,0.00,0.00,-2.70,-6.90,3.00
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,522.20,592.10,0.30,0.40,70.00,13.40,51.30
Industrial machinery mechanics,49-9041,Line item,399.40,461.70,0.20,0.30,62.30,15.60,40.50
"Maintenance workers, machinery",49-9043,Line item,73.20,77.70,0.00,0.00,4.50,6.10,6.40
Millwrights,49-9044,Line item,48.70,52.10,0.00,0.00,3.40,6.90,4.30
"Refractory materials repairers, except brickmasons",49-9045,Line item,0.80,0.70,0.00,0.00,-0.20,-19.30,0.00
Line installers and repairers,49-9050,Summary,238.60,238.60,0.10,0.10,0.00,0.00,20.70
Electrical power-line installers and repairers,49-9051,Line item,115.00,116.90,0.10,0.10,2.00,1.70,8.90
Telecommunications line installers and repairers,49-9052,Line item,123.60,121.60,0.10,0.10,-2.00,-1.60,11.80
