Title,Code,Type,2019EmpNum,2029EmpProjNum,ChgNum,ChgPct,PctSelfEmp, AnnAvgOpens ,MedWage,Education,Experience,Training
Surgical technologists,29-2055,Line item,111.30,118.90,7.60,6.80,0.10,9.30,48300.00,Postsecondary nondegree award,None,None
Veterinary technologists and technicians,29-2056,Line item,112.90,131.20,18.30,16.20,0.10,10.90,35320.00,Associate's degree,None,None
Ophthalmic medical technicians,29-2057,Line item,59.50,67.90,8.50,14.20,0.10,5.60,36940.00,Postsecondary nondegree award,None,None
Licensed practical and licensed vocational nurses,29-2061,Line item,721.70,787.40,65.70,9.10,0.70,58.40,47480.00,Postsecondary nondegree award,None,None
"Opticians, dispensing",29-2081,Line item,73.80,76.80,3.00,4.00,2.70,5.70,37840.00,High school diploma or equivalent,None,Long-term on-the-job training
Orthotists and prosthetists,29-2091,Line item,10.00,11.70,1.70,16.90,—,0.90,68410.00,Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,Line item,8.10,9.00,0.90,10.50,—,0.60,53420.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29-2098,Line item,341.60,370.60,29.00,8.50,0.10,27.80,42630.00,Postsecondary nondegree award,None,None
Other healthcare practitioners and technical occupations,29-9000,Summary,94.20,104.70,10.50,11.10,4.10,6.00,49770.00,—,—,—
Athletic trainers,29-9091,Line item,32.10,37.30,5.20,16.20,4.00,2.20,48440.00,Bachelor's degree,None,None
Genetic counselors,29-9092,Line item,2.60,3.20,0.60,21.50,4.70,0.20,81880.00,Master's degree,None,None
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",29-9098,Line item,59.40,64.10,4.70,7.90,4.20,3.50,49850.00,Postsecondary nondegree award,None,None
Healthcare support occupations,31-0000,Summary,7013.40,8598.10,1584.80,22.60,2.70,1000.00,28470.00,—,—,—
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,5078.40,6363.80,1285.40,25.30,2.40,755.30,26380.00,—,—,—
Home health and personal care aides,31-1120,Line item,3439.70,4599.20,1159.50,33.70,2.50,568.80,25280.00,High school diploma or equivalent,None,Short-term on-the-job training
"Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,1638.70,1764.60,125.90,7.70,2.30,186.60,29680.00,—,—,—
Nursing assistants,31-1131,Line item,1528.50,1645.50,116.90,7.60,2.30,174.00,29660.00,Postsecondary nondegree award,None,None
Orderlies,31-1132,Line item,50.60,53.10,2.50,5.00,2.20,5.60,28980.00,High school diploma or equivalent,None,Short-term on-the-job training
Psychiatric aides,31-1133,Line item,59.50,66.00,6.50,10.90,1.20,7.10,31110.00,High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,204.40,265.30,60.90,29.80,0.70,30.00,52910.00,—,—,—
Occupational therapy assistants and aides,31-2010,Summary,55.10,73.00,17.90,32.50,2.70,7.90,59200.00,—,—,—
Occupational therapy assistants,31-2011,Line item,47.10,63.50,16.30,34.60,2.70,6.90,61510.00,Associate's degree,None,None
Occupational therapy aides,31-2012,Line item,8.00,9.50,1.60,19.90,2.80,1.00,29230.00,High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,Summary,149.30,192.30,43.00,28.80,—,22.00,48990.00,—,—,—
Physical therapist assistants,31-2021,Line item,98.70,130.90,32.20,32.60,—,15.10,58790.00,Associate's degree,None,None
Physical therapist aides,31-2022,Line item,50.60,61.30,10.80,21.30,—,6.90,27000.00,High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,Summary,1730.60,1969.00,238.50,13.80,3.80,214.70,35860.00,—,—,—
Massage therapists,31-9011,Line item,166.70,201.10,34.40,20.60,35.00,22.00,42820.00,Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,31-9090,Summary,1563.80,1767.90,204.10,13.10,0.50,192.70,35630.00,—,—,—
Dental assistants,31-9091,Line item,354.60,378.00,23.40,6.60,—,39.00,40080.00,Postsecondary nondegree award,None,None
Medical assistants,31-9092,Line item,725.20,864.40,139.20,19.20,0.20,92.80,34800.00,Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,Line item,58.70,62.20,3.40,5.90,0.90,6.70,37440.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Line item,58.50,57.20,-1.30,-2.20,4.00,6.90,33380.00,Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,Line item,37.90,32.00,-5.90,-15.70,1.30,3.20,27850.00,High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,99.50,115.20,15.70,15.80,—,16.90,28590.00,High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,Line item,132.60,155.50,22.80,17.20,1.20,15.80,35510.00,Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,Line item,96.90,103.60,6.70,6.90,0.70,11.30,38460.00,High school diploma or equivalent,None,None
Protective service occupations,33-0000,Summary,3615.90,3711.10,95.20,2.60,0.40,387.90,41580.00,—,—,—
Supervisors of protective service workers,33-1000,Summary,331.90,340.50,8.60,2.60,0.30,23.50,71460.00,—,—,—
First-line supervisors of law enforcement workers,33-1010,Summary,174.80,177.60,2.80,1.60,—,11.10,82990.00,—,—,—
First-line supervisors of correctional officers,33-1011,Line item,48.70,44.90,-3.80,-7.80,—,2.80,63730.00,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,Line item,126.10,132.70,6.60,5.20,—,8.30,91090.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of firefighting and prevention workers,33-1021,Line item,71.50,75.90,4.40,6.20,—,4.60,77800.00,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Miscellaneous first-line supervisors, protective service workers",33-1090,Line item,85.70,87.00,1.30,1.60,1.30,7.80,50490.00,High school diploma or equivalent,Less than 5 years,None
Firefighting and prevention workers,33-2000,Summary,351.90,373.60,21.70,6.20,0.40,26.00,51330.00,—,—,—
Firefighters,33-2011,Line item,335.50,355.80,20.30,6.10,0.40,24.20,50850.00,Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,33-2020,Summary,16.40,17.80,1.40,8.50,0.40,1.80,60230.00,—,—,—
Fire inspectors and investigators,33-2021,Line item,14.20,15.00,0.80,5.90,0.40,1.50,61660.00,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,Line item,2.30,2.80,0.50,24.30,—,0.30,45270.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,Summary,1283.90,1288.50,4.60,0.40,0.10,94.00,57030.00,—,—,—
"Bailiffs, correctional officers, and jailers",33-3010,Summary,462.30,429.20,-33.10,-7.20,—,34.70,45300.00,—,—,—
Bailiffs,33-3011,Line item,20.30,20.30,-0.10,-0.30,—,1.70,47830.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,Line item,442.00,408.90,-33.10,-7.50,—,33.00,45180.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,Line item,113.50,114.70,1.30,1.10,0.90,7.30,83170.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Line item,7.20,7.30,0.10,1.20,—,0.50,57500.00,Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,Line item,8.10,5.20,-2.90,-36.20,—,0.20,40920.00,High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,Summary,692.90,732.10,39.20,5.70,—,51.30,63240.00,—,—,—
Police and sheriff's patrol officers,33-3051,Line item,688.40,727.40,39.10,5.70,—,51.00,63150.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,Line item,4.50,4.70,0.20,4.00,—,0.30,71820.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,Summary,1648.20,1708.50,60.30,3.70,0.70,244.40,29770.00,—,—,—
Animal control workers,33-9011,Line item,13.90,14.80,0.90,6.50,—,1.40,37590.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,Line item,36.20,39.20,3.00,8.30,3.00,3.30,50510.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gambling surveillance officers,33-9030,Summary,1164.60,1197.90,33.30,2.90,0.80,144.00,29710.00,—,—,—
Gambling surveillance officers and gambling investigators,33-9031,Line item,10.50,11.10,0.60,5.60,—,1.40,34190.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,Line item,1154.10,1186.80,32.80,2.80,0.80,142.70,29680.00,High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,Summary,433.50,456.60,23.10,5.30,0.10,95.70,28660.00,—,—,—
Crossing guards and flaggers,33-9091,Line item,86.70,91.60,5.00,5.70,—,15.40,29760.00,No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,149.80,163.30,13.50,9.00,0.20,39.30,23420.00,No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,Line item,51.40,49.80,-1.60,-3.10,—,4.30,41770.00,High school diploma or equivalent,None,Short-term on-the-job training
"School bus monitors and protective service workers, all other",33-9098,Line item,145.60,151.80,6.20,4.30,0.10,36.70,30990.00,High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,Summary,13761.30,14769.70,1008.40,7.30,0.50,2412.80,24220.00,—,—,—
Supervisors of food preparation and serving workers,35-1000,Summary,1188.00,1258.30,70.40,5.90,2.40,171.10,34830.00,—,—,—
Chefs and head cooks,35-1011,Line item,148.70,158.10,9.50,6.40,10.10,18.50,51530.00,High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,Line item,1039.30,1100.20,60.90,5.90,1.40,152.60,33400.00,High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,Summary,3458.50,3705.60,247.20,7.10,0.70,514.40,25890.00,—,—,—
Cooks,35-2010,Summary,2571.70,2828.40,256.60,10.00,0.60,374.90,26360.00,—,—,—
"Cooks, fast food",35-2011,Line item,534.00,462.30,-71.60,-13.40,—,57.30,23510.00,No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,Line item,420.20,428.70,8.50,2.00,—,55.80,27750.00,No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",35-2013,Line item,23.80,22.30,-1.50,-6.30,61.90,2.80,37870.00,Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,Line item,1417.30,1744.60,327.30,23.10,—,237.20,27790.00,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,Line item,154.70,147.90,-6.80,-4.40,—,18.90,25150.00,No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,Line item,21.80,22.50,0.80,3.50,—,2.90,30760.00,No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,Line item,886.70,877.20,-9.50,-1.10,1.10,139.40,24800.00,No formal educational credential,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,Summary,7600.80,8217.10,616.30,8.10,0.10,1456.10,22930.00,—,—,—
Bartenders,35-3011,Line item,654.70,693.10,38.40,5.90,0.30,108.70,23680.00,No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3023,Line item,4047.70,4508.60,460.90,11.40,0.00,826.60,22740.00,No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,Line item,2613.80,2711.40,97.60,3.70,0.20,475.70,22890.00,No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,Line item,284.60,303.90,19.30,6.80,0.40,45.10,24430.00,No formal educational credential,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,Summary,1514.10,1588.70,74.60,4.90,0.30,271.20,23650.00,—,—,—
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,488.00,519.90,31.90,6.50,0.30,83.00,23470.00,No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,Line item,522.30,524.70,2.40,0.50,0.20,77.60,23970.00,No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,429.70,464.90,35.20,8.20,0.40,98.10,23090.00,No formal educational credential,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,Line item,74.10,79.20,5.10,6.90,0.30,12.60,24970.00,No formal educational credential,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,Summary,5664.00,5943.40,279.50,4.90,11.40,721.90,28330.00,—,—,—
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,402.60,441.30,38.80,9.60,33.90,45.60,44490.00,—,—,—
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,231.90,251.20,19.40,8.40,30.30,26.80,40780.00,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,170.70,190.10,19.40,11.40,38.90,18.90,49370.00,High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,Summary,3956.10,4066.00,109.90,2.80,5.70,501.80,26570.00,—,—,—
Building cleaning workers,37-2010,Summary,3868.50,3970.90,102.40,2.60,5.70,489.70,26370.00,—,—,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2374.20,2479.80,105.60,4.40,4.00,305.60,27430.00,No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,Line item,1474.90,1470.70,-4.10,-0.30,8.30,181.50,24850.00,No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,Line item,19.40,20.40,0.90,4.80,5.20,2.50,31230.00,No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,Line item,87.60,95.00,7.50,8.50,5.80,12.10,37330.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,Summary,1305.30,1436.10,130.80,10.00,21.60,174.50,30890.00,—,—,—
Landscaping and groundskeeping workers,37-3011,Line item,1188.00,1307.90,119.90,10.10,21.70,158.90,30440.00,No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,38.10,41.20,3.20,8.30,18.40,5.00,35840.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,Line item,62.00,68.60,6.60,10.70,23.00,8.30,39980.00,High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,Line item,17.40,18.50,1.10,6.50,14.40,2.20,32090.00,No formal educational credential,None,Short-term on-the-job training
Personal care and service occupations,39-0000,Summary,4724.10,5088.40,364.30,7.70,20.80,717.40,26220.00,—,—,—
Supervisors of personal care and service workers,39-1000,Summary,371.10,415.70,44.50,12.00,30.90,41.50,40930.00,—,—,—
First-line supervisors of gambling services workers,39-1013,Line item,58.00,67.50,9.50,16.40,48.30,9.70,50710.00,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",39-1098,Line item,313.10,348.10,35.00,11.20,27.70,31.80,39800.00,High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,Summary,350.90,426.40,75.50,21.50,27.70,62.40,24990.00,—,—,—
Animal trainers,39-2011,Line item,50.20,56.90,6.70,13.30,35.40,7.60,30430.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Animal caretakers,39-2021,Line item,300.70,369.50,68.80,22.90,26.40,54.90,24780.00,High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,Summary,654.90,707.00,52.10,8.00,1.40,140.80,23260.00,—,—,—
Gambling services workers,39-3010,Summary,124.20,133.20,9.00,7.20,2.20,19.70,21730.00,—,—,—
Gambling dealers,39-3011,Line item,102.90,110.70,7.90,7.70,2.20,16.40,21260.00,High school diploma or equivalent,None,Short-term on-the-job training
Gambling and sports book writers and runners,39-3012,Line item,10.40,10.80,0.40,3.70,2.50,1.60,24750.00,High school diploma or equivalent,None,Short-term on-the-job training
"Gambling service workers, all other",39-3019,Line item,10.90,11.60,0.70,6.50,2.50,1.70,28300.00,High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,Line item,4.70,4.10,-0.50,-11.20,2.20,0.90,25150.00,No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,139.00,143.70,4.70,3.30,0.10,31.90,23500.00,No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,Summary,387.00,426.10,39.00,10.10,1.60,88.30,23550.00,—,—,—
Amusement and recreation attendants,39-3091,Line item,357.70,394.70,37.00,10.30,1.60,81.80,23370.00,No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,Line item,7.70,8.10,0.40,4.70,1.80,1.70,41410.00,High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,16.80,18.10,1.40,8.10,1.70,3.80,25110.00,High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,Line item,4.80,5.10,0.30,6.20,1.50,1.10,26460.00,High school diploma or equivalent,None,Short-term on-the-job training
Embalmers,39-4011,Line item,3.90,3.60,-0.30,-7.60,—,0.50,47760.00,Associate's degree,None,Long-term on-the-job training
Funeral attendants,39-4021,Line item,34.30,33.30,-1.00,-2.90,—,5.00,27930.00,High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral arrangers",39-4031,Line item,26.60,26.10,-0.50,-2.00,4.60,2.70,54150.00,Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,Summary,978.00,1014.10,36.10,3.70,39.40,110.70,26430.00,—,—,—
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,722.60,713.30,-9.20,-1.30,43.60,77.80,26270.00,—,—,—
Barbers,39-5011,Line item,66.50,71.50,5.00,7.50,69.60,7.20,30150.00,Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,656.10,641.80,-14.20,-2.20,41.00,70.60,26090.00,Postsecondary nondegree award,None,None
Miscellaneous personal appearance workers,39-5090,Summary,255.40,300.80,45.40,17.80,27.50,32.90,26680.00,—,—,—
"Makeup artists, theatrical and performance",39-5091,Line item,4.70,5.20,0.50,11.00,27.80,0.60,75730.00,Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,Line item,155.30,185.20,29.90,19.20,27.50,20.40,25770.00,Postsecondary nondegree award,None,None
Shampooers,39-5093,Line item,16.80,18.80,1.90,11.40,27.50,2.00,22550.00,No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,Line item,78.60,91.60,13.10,16.60,27.50,10.00,34090.00,Postsecondary nondegree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,Summary,83.30,88.30,5.00,6.00,0.30,11.60,28550.00,—,—,—
Baggage porters and bellhops,39-6011,Line item,40.60,42.80,2.20,5.30,0.30,5.60,25580.00,High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,Line item,42.60,45.50,2.90,6.70,0.30,6.00,31390.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,Summary,57.30,60.50,3.10,5.40,7.10,9.60,27600.00,—,—,—
Tour and travel guides,39-7010,Line item,57.30,60.50,3.10,5.40,7.10,9.60,27600.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Childcare workers,39-9011,Line item,1146.40,1165.90,19.50,1.70,22.70,160.20,24230.00,High school diploma or equivalent,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,Summary,790.90,890.00,99.10,12.50,9.00,136.60,30490.00,—,—,—
Exercise trainers and group fitness instructors,39-9031,Line item,373.70,431.30,57.60,15.40,11.00,66.40,40390.00,High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,Line item,417.10,458.70,41.50,10.00,7.20,70.20,26350.00,High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,Line item,115.20,128.70,13.60,11.80,—,18.50,29450.00,High school diploma or equivalent,None,Short-term on-the-job training
"Crematory operators and personal care and service workers, all other",39-9098,Line item,111.30,128.80,17.50,15.70,36.30,17.10,27130.00,High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,Summary,15525.30,15222.00,-303.40,-2.00,7.40,1856.10,29630.00,—,—,—
Supervisors of sales workers,41-1000,Summary,1886.30,1771.00,-115.30,-6.10,25.00,159.80,44250.00,—,—,—
First-line supervisors of retail sales workers,41-1011,Line item,1476.40,1395.30,-81.20,-5.50,21.40,131.00,40350.00,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,Line item,409.80,375.70,-34.10,-8.30,38.20,28.80,74760.00,High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,Summary,8676.00,8396.00,-280.00,-3.20,1.80,1205.60,24630.00,—,—,—
Cashiers,41-2010,Summary,3622.50,3357.70,-264.80,-7.30,0.40,562.30,23660.00,—,—,—
Cashiers,41-2011,Line item,3600.90,3335.50,-265.30,-7.40,0.40,558.60,23650.00,No formal educational credential,None,Short-term on-the-job training
Gambling change persons and booth cashiers,41-2012,Line item,21.70,22.20,0.50,2.50,—,3.80,25690.00,No formal educational credential,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,Summary,682.10,691.90,9.90,1.40,0.70,75.20,29860.00,—,—,—
Counter and rental clerks,41-2021,Line item,420.40,424.90,4.50,1.10,0.50,46.10,28820.00,No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,Line item,261.70,267.00,5.30,2.00,1.10,29.10,31710.00,No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,Line item,4371.40,4346.30,-25.10,-0.60,3.10,568.10,25250.00,No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",41-3000,Summary,2257.20,2336.00,78.80,3.50,5.40,230.30,55370.00,—,—,—
Advertising sales agents,41-3011,Line item,139.20,130.20,-9.00,-6.50,6.70,14.40,53310.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,Line item,501.30,528.80,27.50,5.50,12.40,45.90,50940.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Line item,464.20,481.60,17.40,3.70,4.30,40.50,62270.00,Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,Line item,82.00,60.80,-21.30,-25.90,17.00,5.70,40660.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,1070.50,1134.70,64.20,6.00,1.50,123.80,56130.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,Summary,1720.70,1747.00,26.20,1.50,2.70,158.20,63000.00,—,—,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,321.00,334.00,13.00,4.10,2.70,30.70,81020.00,Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1399.70,1412.90,13.20,0.90,2.70,127.50,59930.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,Summary,985.20,972.10,-13.10,-1.30,36.60,102.20,37220.00,—,—,—
"Models, demonstrators, and product promoters",41-9010,Summary,90.80,93.60,2.70,3.00,11.30,15.70,30890.00,—,—,—
Demonstrators and product promoters,41-9011,Line item,88.10,90.90,2.70,3.10,11.40,15.30,30930.00,No formal educational credential,None,Short-term on-the-job training
Models,41-9012,Line item,2.70,2.70,0.00,0.50,8.40,0.50,28350.00,No formal educational credential,None,None
Real estate brokers and sales agents,41-9020,Summary,477.20,488.50,11.30,2.40,55.70,41.10,50730.00,—,—,—
Real estate brokers,41-9021,Line item,100.70,103.30,2.70,2.60,56.30,8.70,59720.00,High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,Line item,376.50,385.20,8.70,2.30,55.60,32.40,48930.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,Line item,64.50,68.60,4.10,6.30,—,6.70,103900.00,Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,Line item,136.90,117.50,-19.40,-14.20,0.50,15.50,26290.00,No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,Summary,215.80,203.90,-11.90,-5.50,38.80,23.10,31480.00,—,—,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,72.90,58.30,-14.60,-20.00,87.70,6.30,27420.00,No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,Line item,142.90,145.60,2.70,1.90,13.90,16.90,31820.00,High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,Summary,20633.00,19673.30,-959.70,-4.70,1.30,2017.40,37580.00,—,—,—
Supervisors of office and administrative support workers,43-1000,Summary,1552.40,1505.70,-46.70,-3.00,0.50,138.20,56620.00,—,—,—
First-line supervisors of office and administrative support workers,43-1011,Line item,1552.40,1505.70,-46.70,-3.00,0.50,138.20,56620.00,High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,Summary,78.50,61.70,-16.80,-21.40,0.60,5.50,31070.00,—,—,—
"Switchboard operators, including answering service",43-2011,Line item,69.90,54.10,-15.70,-22.50,0.30,4.70,30610.00,High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,Line item,5.00,3.60,-1.40,-27.90,—,0.40,35750.00,High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,Line item,3.60,3.90,0.30,9.10,7.00,0.40,42790.00,High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,43-3000,Summary,3111.10,2932.90,-178.30,-5.70,2.50,294.10,38510.00,—,—,—
Bill and account collectors,43-3011,Line item,238.90,223.50,-15.40,-6.40,0.30,22.90,37000.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,Line item,484.20,493.50,9.30,1.90,1.30,48.10,38740.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1673.60,1578.20,-95.40,-5.70,4.00,162.10,41230.00,"Some college, no degree",None,Moderate-term on-the-job training
Gambling cage workers,43-3041,Line item,14.60,15.40,0.80,5.70,—,1.80,28040.00,High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,Line item,149.80,143.10,-6.70,-4.50,0.20,13.70,46180.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,Line item,68.50,63.40,-5.10,-7.50,—,5.30,43310.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,Line item,449.00,380.40,-68.60,-15.30,0.10,36.70,31230.00,High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,Line item,32.60,35.40,2.80,8.60,3.30,3.60,42420.00,High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,Summary,6012.80,5963.60,-49.20,-0.80,0.80,689.60,34050.00,—,—,—
Brokerage clerks,43-4011,Line item,48.60,50.50,1.90,3.80,—,4.90,52750.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,Line item,6.80,6.60,-0.20,-3.20,5.40,0.70,38140.00,High school diploma or equivalent,None,Short-term on-the-job training
